ref	abbrev
pfam17917	RT_RNaseH
cd09274	RNase_HI_RT_Ty3
cd01647	RT_LTR
pfam17919	RT_RNaseH_2
pfam00078	RVT_1
pfam17921	Integrase_H2C2
cd03715	RT_ZFREV_like
pfam00665	rve
cd01645	RT_Rtv
cd00303	retropepsin_like
cd03714	RT_DIRS1
cd09275	RNase_HI_RT_DIRS1
cd00304	RT_like
pfam13975	gag-asp_proteas
pfam03732	Retrotrans_gag
pfam13650	Asp_protease_2
NF033577	transpos_IS481
cd06222	RNase_H_like
cd05484	retropepsin_like_LTR_2
cd05483	retropepsin_like_bacteria
pfam08284	RVP_2
cd01644	RT_pepA17
pfam09337	zf-H2C2
cd00024	CD_CSD
pfam00385	Chromo
cd05481	retropepsin_like_LTR_1
smart00298	CHROMO
pfam19259	Ty3_capsid
cd18975	CD_MarY1_POL_like
cd18978	CD_DDE_transposase_like
cd18973	CD_Tf2-1_POL_like
cd18631	CD_HP1_like
pfam00098	zf-CCHC
smart00343	ZnF_C2HC
cd18634	CD_CDY
cd18635	CD_CMT3_like
pfam13456	RVT_3
cd18644	CD_polycomb
cd06095	RP_RTVL_H_like
cd18980	CD_NC-like
cd18650	CD_HP1beta_Cbx1
cd18979	CD_POL_like
cd09279	RNase_HI_like
cd18630	CD_Rhino
cd18653	CD_HP1a_insect
cd05479	RP_DDI
cd18627	CD_polycomb_like
cd18651	CD_HP1alpha_Cbx5
cd18659	CD2_tandem
cd18647	CD_Cbx2
cd18633	CD_MMP8
cd18638	CD_EhHp1_like
COG0328	RnhA
cd06094	RP_Saci_like
cd18652	CD_HP1gamma_Cbx3
cd18632	CD_Clr4_like
cd18968	chromodomain
cd18639	CD_SUV39H1_like
cd18645	CD_Cbx4
pfam16297	DUF4939
cd18637	CD_Swi6_like
cd18646	CD_Cbx7
cd18649	CD_Cbx8
pfam13683	rve_3
cd18966	chromodomain
PRK07708	PRK07708
PTZ00368	PTZ00368
cd18648	CD_Cbx6
cd18962	CD_MT_like
cd18970	CD_POL_like
cd18640	CD_Chro-like
PRK13907	rnhA
cd09272	RNase_HI_RT_Ty1
pfam07727	RVT_2
pfam13976	gag_pre-integrs
pfam14223	Retrotran_gag_2
pfam14244	Retrotran_gag_3
pfam13961	DUF4219
COG2801	Tra5
cd01650	RT_nLTR_like
cd09076	L1-EN
cd08372	EEP
pfam03372	Exo_endo_phos
cd01651	RT_G2_intron
cd09073	ExoIII_AP-endo
pfam13966	zf-RVT
cd09087	Ape1-like_AP-endo
cd09086	ExoIII-like_AP-endo
TIGR00633	DNA-apurinic_or_apyrimidinic_site_lyase
cd09085	Mth212-like_AP-endo
cd10281	Nape_like_AP-endo
pfam14529	Exo_endo_phos_2
COG0708	XthA
cd09077	R1-I-EN
cd09088	Ape2-like_AP-endo
cd03487	RT_Bac_retron_II
