ref	abbrev	organism
cd20663	CYP2D	Ceratotherium_simum_cottoni
cd11026	CYP2	Ceratotherium_simum_cottoni
pfam00067	p450	Ceratotherium_simum_cottoni
cd11027	CYP17A1-like	Ceratotherium_simum_cottoni
pfam00001	7tm_1	Ceratotherium_simum_cottoni
cd15337	7tmA_Opsin_Gq_invertebrates	Ceratotherium_simum_cottoni
cd15001	7tmA_GPRnna14-like	Ceratotherium_simum_cottoni
cd15160	7tmA_Proton-sensing_R	Ceratotherium_simum_cottoni
cd15054	7tmA_5-HT6	Ceratotherium_simum_cottoni
cd15917	7tmA_OR51_52-like	Ceratotherium_simum_cottoni
cd15953	7tmA_OR52P-like	Ceratotherium_simum_cottoni
cd15221	7tmA_OR52B-like	Ceratotherium_simum_cottoni
cd15952	7tmA_OR52E-like	Ceratotherium_simum_cottoni
cd15951	7tmA_OR52R_52L-like	Ceratotherium_simum_cottoni
pfam13853	7tm_4	Ceratotherium_simum_cottoni
cd15948	7tmA_OR52K-like	Ceratotherium_simum_cottoni
cd15954	7tmA_OR52N-like	Ceratotherium_simum_cottoni
cd15955	7tmA_OR52A-like	Ceratotherium_simum_cottoni
cd15950	7tmA_OR52I-like	Ceratotherium_simum_cottoni
cd14972	7tmA_EDG-like	Ceratotherium_simum_cottoni
cd14971	7tmA_Galanin_R-like	Ceratotherium_simum_cottoni
cd14978	7tmA_FMRFamide_R-like	Ceratotherium_simum_cottoni
cd15307	7tmA_5-HT2_insect-like	Ceratotherium_simum_cottoni
cd15411	7tmA_OR8H-like	Ceratotherium_simum_cottoni
cd15413	7tmA_OR8K-like	Ceratotherium_simum_cottoni
cd15429	7tmA_OR2F-like	Ceratotherium_simum_cottoni
cd15947	7tmA_OR2B-like	Ceratotherium_simum_cottoni
cd15416	7tmA_OR5P-like	Ceratotherium_simum_cottoni
cd15407	7tmA_OR5B-like	Ceratotherium_simum_cottoni
cd15915	7tmA_OR12D-like	Ceratotherium_simum_cottoni
cd15415	7tmA_OR5J-like	Ceratotherium_simum_cottoni
cd15405	7tmA_OR8B-like	Ceratotherium_simum_cottoni
cd15942	7tmA_OR10G6-like	Ceratotherium_simum_cottoni
cd15222	7tmA_OR51-like	Ceratotherium_simum_cottoni
cd15956	7tmA_OR52W-like	Ceratotherium_simum_cottoni
cd00637	7tm_classA_rhodopsin-like	Ceratotherium_simum_cottoni
cd15067	7tmA_Dop1R2-like	Ceratotherium_simum_cottoni
cd15208	7tmA_OXR	Ceratotherium_simum_cottoni
cd15366	7tmA_GPR4	Ceratotherium_simum_cottoni
cd15234	7tmA_OR7-like	Ceratotherium_simum_cottoni
cd13954	7tmA_OR	Ceratotherium_simum_cottoni
cd15225	7tmA_OR10A-like	Ceratotherium_simum_cottoni
cd15230	7tmA_OR5-like	Ceratotherium_simum_cottoni
cd15236	7tmA_OR1E-like	Ceratotherium_simum_cottoni
cd15911	7tmA_OR11A-like	Ceratotherium_simum_cottoni
cd15231	7tmA_OR5V1-like	Ceratotherium_simum_cottoni
cd15229	7tmA_OR8S1-like	Ceratotherium_simum_cottoni
cd15227	7tmA_OR14-like	Ceratotherium_simum_cottoni
cd15431	7tmA_OR13H-like	Ceratotherium_simum_cottoni
cd15912	7tmA_OR6C-like	Ceratotherium_simum_cottoni
cd15417	7tmA_OR5A1-like	Ceratotherium_simum_cottoni
cd15421	7tmA_OR2T-like	Ceratotherium_simum_cottoni
cd15232	7tmA_OR13-like	Ceratotherium_simum_cottoni
cd15420	7tmA_OR2A-like	Ceratotherium_simum_cottoni
cd15414	7tmA_OR5G-like	Ceratotherium_simum_cottoni
cd15419	7tmA_OR9K2-like	Ceratotherium_simum_cottoni
cd15409	7tmA_OR5H-like	Ceratotherium_simum_cottoni
cd15224	7tmA_OR6B-like	Ceratotherium_simum_cottoni
cd15233	7tmA_OR3A-like	Ceratotherium_simum_cottoni
cd15424	7tmA_OR2_unk	Ceratotherium_simum_cottoni
cd15913	7tmA_OR11G-like	Ceratotherium_simum_cottoni
cd15946	7tmA_OR1330-like	Ceratotherium_simum_cottoni
cd15228	7tmA_OR10D-like	Ceratotherium_simum_cottoni
cd15914	7tmA_OR6N-like	Ceratotherium_simum_cottoni
cd15916	7tmA_OR10G-like	Ceratotherium_simum_cottoni
cd15428	7tmA_OR2D-like	Ceratotherium_simum_cottoni
cd15226	7tmA_OR4-like	Ceratotherium_simum_cottoni
cd15941	7tmA_OR10S1-like	Ceratotherium_simum_cottoni
cd15940	7tmA_OR4E-like	Ceratotherium_simum_cottoni
cd15936	7tmA_OR4D-like	Ceratotherium_simum_cottoni
cd15223	7tmA_OR56-like	Ceratotherium_simum_cottoni
cd15938	7tmA_OR4Q2-like	Ceratotherium_simum_cottoni
cd15935	7tmA_OR4Q3-like	Ceratotherium_simum_cottoni
cd15937	7tmA_OR4N-like	Ceratotherium_simum_cottoni
cd14967	7tmA_amine_R-like	Ceratotherium_simum_cottoni
cd14993	7tmA_CCKR-like	Ceratotherium_simum_cottoni
cd15203	7tmA_NPYR-like	Ceratotherium_simum_cottoni
cd14969	7tmA_Opsins_type2_animals	Ceratotherium_simum_cottoni
cd15314	7tmA_TAAR1	Ceratotherium_simum_cottoni
cd15055	7tmA_TAARs	Ceratotherium_simum_cottoni
cd15062	7tmA_alpha1_AR	Ceratotherium_simum_cottoni
cd15202	7tmA_TACR-like	Ceratotherium_simum_cottoni
cd15079	7tmA_photoreceptors_insect	Ceratotherium_simum_cottoni
cd15325	7tmA_alpha1A_AR	Ceratotherium_simum_cottoni
cd15012	7tmA_Trissin_R	Ceratotherium_simum_cottoni
cd15061	7tmA_tyramine_R-like	Ceratotherium_simum_cottoni
cd15213	7tmA_PSP24-like	Ceratotherium_simum_cottoni
cd14982	7tmA_purinoceptor-like	Ceratotherium_simum_cottoni
cd15918	7tmA_OR1_7-like	Ceratotherium_simum_cottoni
cd15237	7tmA_OR2-like	Ceratotherium_simum_cottoni
