class	ref	abbrev	clade
Pao	NF033838	PspC_subgroup_1	Amphibia
Pao	PRK14475	PRK14475	Amphibia
Pao	TIGR02499	translocation_protein	Amphibia
Pao	cd06503	ATP-synt_Fo_b	Amphibia
Pao	pfam16999	V-ATPase_G_2	Amphibia
Pao	PRK02292	PRK02292	Amphibia
Pao	cd06503	ATP-synt_Fo_b	Amphibia
Pao	pfam16999	V-ATPase_G_2	Amphibia
Pao	smart00935	OmpH	Amphibia
Pao	pfam00430	ATP-synt_B	Amphibia
Pao	COG0711	AtpF	Amphibia
Pao	PRK08475	PRK08475	Amphibia
Pao	pfam12072	DUF3552	Amphibia
Pao	PRK05759	PRK05759	Amphibia
Pao	PRK07353	PRK07353	Amphibia
Pao	COG2811	NtpF	Amphibia
Pao	TIGR02926	Uncharacterized_protein_AF_1158	Amphibia
Pao	pfam15975	Flot	Amphibia
Gypsy	pfam14893	PNMA	Amphibia
TcMar-Tc1	COG2512	COG2512	Amphibia
TcMar-Tc1	COG2522	COG2522	Amphibia
LINE	cd14695	bZIP_HLF	Amphibia
LINE	COG1579	COG1579	Amphibia
LINE	pfam08614	ATG16	Amphibia
PIF-Harbinger	pfam02944	BESS	Amphibia
Gypsy	cd07936	SCAN	Amphibia
ERV	pfam07679	I-set	Amphibia
ERV	cd07700	IgV_CD8_beta	Amphibia
Gypsy	pfam13696	zf-CCHC_2	Amphibia
Gypsy	cd18977	CD_POL_like	Amphibia
Helitron	cd17914	DExxQc_SF1-N	Amphibia
Helitron	cd02661	Peptidase_C19E	Amphibia
Helitron	pfam00443	UCH	Amphibia
Helitron	cd02668	Peptidase_C19L	Amphibia
Helitron	COG5533	UBP5	Amphibia
Helitron	cd02667	Peptidase_C19K	Amphibia
Helitron	cd02257	Peptidase_C19	Amphibia
Helitron	cd02674	Peptidase_C19R	Amphibia
Helitron	cd02662	Peptidase_C19F	Amphibia
Helitron	cd02658	Peptidase_C19B	Amphibia
Helitron	TIGR01447	recD	Amphibia
Gypsy	cd18964	chromodomain	Amphibia
Helitron	cd02673	Peptidase_C19Q	Amphibia
ERV	pfam02813	Retro_M	Aves
ERV	pfam03708	Avian_gp85	Aves
R2	pfam13921	Myb_DNA-bind_6	Aves
ERV	COG1340	COG1340	Aves
ERV	COG4026	COG4026	Aves
ERV	pfam00769	ERM	Aves
ERV	COG4942	COG4942	Aves
DNA_virus	pfam00242	DNA_pol_viral_N	Aves
DNA_virus	pfam00336	DNA_pol_viral_C	Aves
DNA_virus	pfam00906	Hepatitis_core	Aves
DNA_virus	pfam00695	vMSA	Aves
ERV	pfam10473	CENP-F_leu_zip	Aves
ERV	pfam16888	DUF5082	Aves
ERV	pfam10473	CENP-F_leu_zip	Aves
ERV	pfam02403	Seryl_tRNA_N	Aves
ERV	TIGR03698	clan_AA_DTGF	Aves
ERV	COG5550	COG5550	Aves
ERV	pfam00047	ig	Aves
ERV	cd05740	IgI_hCEACAM_2_4_6_like	Aves
ERV	cd20935	IgV_B7-H2	Aves
ERV	TIGR02794	Protein_TolA	Aves
ERV	pfam05917	DUF874	Aves
ERV	pfam11559	ADIP	Aves
ERV	pfam03938	OmpH	Aves
ERV	cd14717	bZIP_Maf_small	Aves
ERV	cd22887	Atg16_CCD	Aves
ERV	pfam14662	KASH_CCD	Aves
ERV	cd22887	Atg16_CCD	Aves
ERV	pfam00529	HlyD	Aves
ERV	pfam12795	MscS_porin	Aves
ERV	cd22887	Atg16_CCD	Aves
L1	pfam06825	HSBP1	Mammalia
ERV	PRK13956	dut	Mammalia
ERV	pfam13804	HERV-K_env_2	Mammalia
ERV	pfam01141	Gag_p12	Mammalia
ERV-Foamy	pfam03276	Gag_spuma	Mammalia
ERV-Foamy	pfam03539	Spuma_A9PTase	Mammalia
ERV-Foamy	pfam03408	Foamy_virus_ENV	Mammalia
L1	pfam01442	Apolipoprotein	Lepidosauria
Gypsy	pfam04814	HNF-1_N	Testudines
Gypsy	cd14693	bZIP_CEBP	Testudines
ERV	cd02901	Macro_Poa1p-like	Actinopterygii
ERV	smart00506	A1pp	Actinopterygii
ERV	cd02749	Macro_SF	Actinopterygii
ERV	PHA02595	tk.4	Actinopterygii
ERV	pfam01661	Macro	Actinopterygii
Rex-Babar	pfam16761	Clr2_transil	Actinopterygii
Gypsy	pfam02023	SCAN	Actinopterygii
Gypsy	smart00431	SCAN	Actinopterygii
Gypsy	pfam03078	ATHILA	Plantae
Gypsy	pfam04195	Transposase_28	Plantae
Caulimovirus	pfam03938	OmpH	Plantae
Caulimovirus	PRK03957	PRK03957	Plantae
Copia	pfam13696	zf-CCHC_2	Plantae
Gypsy	pfam15294	Leu_zip	Plantae
Gypsy	PRK07238	PRK07238	Plantae
MULE-MuDR	cd06410	PB1_UP2	Plantae
MULE-MuDR	pfam09322	DUF1979	Plantae
MULE-MuDR	pfam05928	Zea_mays_MuDR	Plantae
